service_id,date,exception_type
602040905,20260106,1
602040944,20260106,1
602041017,20260106,1
602041056,20260106,1
602041129,20260106,1
602041208,20260106,1
602041241,20260106,1
602041320,20260106,1
602041353,20260106,1
602041432,20260106,1
602041505,20260106,1
602041542,20260106,1
602041607,20260106,1
602041650,20260106,1
602041727,20260106,1
602041810,20260106,1
602041847,20260106,1
602041930,20260106,1
602042007,20260106,1
602042050,20260106,1
602042127,20260106,1
602042205,20260106,1
602042237,20260106,1
603010700,20260106,2
603010732,20260106,2
603010803,20260106,2
603010846,20260106,2
603010928,20260106,2
603011010,20260106,2
603011052,20260106,2
603011134,20260106,2
603011216,20260106,2
603011258,20260106,2
603011340,20260106,2
603011422,20260106,2
603011504,20260106,2
603011546,20260106,2
603011628,20260106,2
603011710,20260106,2
603011752,20260106,2
603011834,20260106,2
603011916,20260106,2
603011958,20260106,2
603012040,20260106,2
603012122,20260106,2
603012200,20260106,2
603041627,20260106,1
603041710,20260106,1
603041747,20260106,1
603041830,20260106,1
603041907,20260106,1
603041950,20260106,1
603042027,20260106,1
603042110,20260106,1
603042147,20260106,1
603042230,20260106,1
603042307,20260106,1
604010715,20260106,2
604010745,20260106,2
604010815,20260106,2
604010858,20260106,2
604010940,20260106,2
604011022,20260106,2
604011104,20260106,2
604011146,20260106,2
604011228,20260106,2
604011310,20260106,2
604011352,20260106,2
604011434,20260106,2
604011516,20260106,2
604011558,20260106,2
604011640,20260106,2
604011722,20260106,2
604011804,20260106,2
604011846,20260106,2
604011928,20260106,2
604012010,20260106,2
604012052,20260106,2
604012134,20260106,2
604012210,20260106,2
605010755,20260106,2
605010827,20260106,2
605010910,20260106,2
605010952,20260106,2
605011034,20260106,2
605011116,20260106,2
605011158,20260106,2
605011240,20260106,2
605011322,20260106,2
605011404,20260106,2
605011446,20260106,2
605011528,20260106,2
605011610,20260106,2
605011652,20260106,2
605011734,20260106,2
605011816,20260106,2
605011858,20260106,2
605011940,20260106,2
605012022,20260106,2
605012104,20260106,2
605012145,20260106,2
605012223,20260106,2
605012250,20260106,2
606010805,20260106,2
606010837,20260106,2
606010922,20260106,2
606011004,20260106,2
606011046,20260106,2
606011128,20260106,2
606011210,20260106,2
606011252,20260106,2
606011334,20260106,2
606011416,20260106,2
606011458,20260106,2
606011540,20260106,2
606011622,20260106,2
606011704,20260106,2
606011746,20260106,2
606011828,20260106,2
606011910,20260106,2
606011952,20260106,2
606012034,20260106,2
606012116,20260106,2
606012156,20260106,2
606012232,20260106,2
606012305,20260106,2
700010650,20260106,2
700010725,20260106,2
700010753,20260106,2
700010830,20260106,2
700010905,20260106,2
700010950,20260106,2
700011025,20260106,2
700011110,20260106,2
700011145,20260106,2
700011230,20260106,2
700011305,20260106,2
700011350,20260106,2
700011425,20260106,2
700011510,20260106,2
700011545,20260106,2
700011630,20260106,2
700011705,20260106,2
700011750,20260106,2
700011825,20260106,2
700011910,20260106,2
700011945,20260106,2
700012030,20260106,2
700012105,20260106,2
700012150,20260106,2
700040730,20260106,1
700040753,20260106,1
700040822,20260106,1
700040858,20260106,1
700040931,20260106,1
700041007,20260106,1
700041040,20260106,1
700041116,20260106,1
700041149,20260106,1
700041225,20260106,1
700041258,20260106,1
700041334,20260106,1
700041407,20260106,1
700041442,20260106,1
700041514,20260106,1
700041547,20260106,1
700041620,20260106,1
700041659,20260106,1
700041732,20260106,1
700041811,20260106,1
700041844,20260106,1
700041923,20260106,1
700041956,20260106,1
700042035,20260106,1
700042108,20260106,1
700042145,20260106,1
700042215,20260106,1
700042245,20260106,1
701010807,20260106,2
701010846,20260106,2
701010921,20260106,2
701011006,20260106,2
701011041,20260106,2
701011126,20260106,2
701011201,20260106,2
701011246,20260106,2
701011321,20260106,2
701011406,20260106,2
701011441,20260106,2
701011526,20260106,2
701011601,20260106,2
701011646,20260106,2
701011721,20260106,2
701011806,20260106,2
701011841,20260106,2
701011926,20260106,2
701012001,20260106,2
701012046,20260106,2
701012121,20260106,2
701012205,20260106,2
701012240,20260106,2
701012315,20260106,2
701041604,20260106,1
701041638,20260106,1
701041717,20260106,1
701041750,20260106,1
701041829,20260106,1
701041902,20260106,1
701041941,20260106,1
701042014,20260106,1
701042053,20260106,1
701042126,20260106,1
701042200,20260106,1
701042230,20260106,1
701042300,20260106,1
702010707,20260106,2
702010745,20260106,2
702010820,20260106,2
702010902,20260106,2
702010937,20260106,2
702011022,20260106,2
702011057,20260106,2
702011142,20260106,2
702011217,20260106,2
702011302,20260106,2
702011337,20260106,2
702011422,20260106,2
702011457,20260106,2
702011542,20260106,2
702011617,20260106,2
702011702,20260106,2
702011737,20260106,2
702011822,20260106,2
702011857,20260106,2
702011942,20260106,2
702012017,20260106,2
702012102,20260106,2
702012137,20260106,2
702012217,20260106,2
702040750,20260106,1
702040814,20260106,1
702040843,20260106,1
702040921,20260106,1
702040954,20260106,1
702041030,20260106,1
702041103,20260106,1
702041139,20260106,1
702041212,20260106,1
702041248,20260106,1
702041321,20260106,1
702041357,20260106,1
702041430,20260106,1
702041506,20260106,1
702041540,20260106,1
702041622,20260106,1
702041656,20260106,1
702041735,20260106,1
702041808,20260106,1
702041847,20260106,1
702041920,20260106,1
702041959,20260106,1
702042032,20260106,1
702042111,20260106,1
702042144,20260106,1
702042220,20260106,1
702042245,20260106,1
702042315,20260106,1
703010725,20260106,2
703010800,20260106,2
703010835,20260106,2
703010918,20260106,2
703010953,20260106,2
703011038,20260106,2
703011113,20260106,2
703011158,20260106,2
703011233,20260106,2
703011318,20260106,2
703011353,20260106,2
703011438,20260106,2
703011513,20260106,2
703011558,20260106,2
703011633,20260106,2
703011718,20260106,2
703011753,20260106,2
703011838,20260106,2
703011913,20260106,2
703011958,20260106,2
703012033,20260106,2
703012118,20260106,2
703012153,20260106,2
703012235,20260106,2
703040740,20260106,1
703040805,20260106,1
703040835,20260106,1
703040906,20260106,1
703040944,20260106,1
703041017,20260106,1
703041053,20260106,1
703041126,20260106,1
703041202,20260106,1
703041235,20260106,1
703041311,20260106,1
703041344,20260106,1
703041420,20260106,1
703041453,20260106,1
703041529,20260106,1
703041602,20260106,1
703041641,20260106,1
703041714,20260106,1
703041753,20260106,1
703041826,20260106,1
703041905,20260106,1
703041938,20260106,1
703042017,20260106,1
703042050,20260106,1
703042129,20260106,1
703042200,20260106,1
703042235,20260106,1
704010740,20260106,2
704010815,20260106,2
704010850,20260106,2
704010934,20260106,2
704011009,20260106,2
704011054,20260106,2
704011129,20260106,2
704011214,20260106,2
704011249,20260106,2
704011334,20260106,2
704011409,20260106,2
704011454,20260106,2
704011529,20260106,2
704011614,20260106,2
704011649,20260106,2
704011734,20260106,2
704011809,20260106,2
704011854,20260106,2
704011929,20260106,2
704012014,20260106,2
704012049,20260106,2
704012134,20260106,2
704012209,20260106,2
704012250,20260106,2
800010650,20260106,2
800010710,20260106,2
800010730,20260106,2
800010750,20260106,2
800010815,20260106,2
800010845,20260106,2
800010915,20260106,2
800010945,20260106,2
800011015,20260106,2
800011045,20260106,2
800011115,20260106,2
800011145,20260106,2
800011215,20260106,2
800011245,20260106,2
800011315,20260106,2
800011345,20260106,2
800011415,20260106,2
800011445,20260106,2
800011515,20260106,2
800011545,20260106,2
800011615,20260106,2
800011645,20260106,2
800011715,20260106,2
800011745,20260106,2
800011815,20260106,2
800011845,20260106,2
800011915,20260106,2
800011945,20260106,2
800012013,20260106,2
800012040,20260106,2
800012105,20260106,2
800012130,20260106,2
800012152,20260106,2
800040745,20260106,1
800040800,20260106,1
800040815,20260106,1
800040830,20260106,1
800040855,20260106,1
800040920,20260106,1
800040945,20260106,1
800041010,20260106,1
800041035,20260106,1
800041100,20260106,1
800041125,20260106,1
800041150,20260106,1
800041215,20260106,1
800041240,20260106,1
800041305,20260106,1
800041330,20260106,1
800041355,20260106,1
